hos_cd	ins	fie_name	dep_cd	year	invr_intr
1513504	0	消化外	14	2023	1
1513504	0	総合診	36	2023	1
1513504	0	腎臓内	08	2023	1
1513579	0	リウ膠	48	2023	1
1513579	0	糖尿内	06	2023	1
1513579	0	腎臓内	08	2023	2
1513678	0	脳神内	02	2023	1
1513686	0	心療科	12	2023	1
1513694	0	耳鼻科	25	2023	2
1513702	0	心療科	12	2023	1
1513751	0	リウ膠	48	2023	2
1513751	0	皮膚科	21	2023	1
1513751	0	眼科	26	2023	19
1513769	0	救急科	34	2023	1
1513769	0	産婦人	43	2023	1
1513785	0	リウ膠	48	2023	1
1513801	0	リウ膠	48	2023	1
1513801	0	脳卒中	09	2023	1
1513801	0	腎臓内	08	2023	2
1513819	0	眼科	26	2023	3
1513983	0	消化内	50	2023	1
1513991	0	リウ膠	48	2023	2
1513991	0	脳神内	02	2023	1
1514023	0	皮膚科	21	2023	1
1514049	0	放核医	30	2023	1
1514049	0	整形外	18	2023	1
1514049	0	消化内	50	2023	1
1514049	0	脳神内	02	2023	1
1514049	0	脳神外	20	2023	1
1514080	0	循環内	07	2023	1
1514114	0	皮膚科	21	2023	1
1514122	0	腎臓内	08	2023	2
1514189	0	腎臓内	08	2023	1
1514312	0	心血外	15	2023	2
1514320	0	乳甲外	16	2023	5
1514320	0	腎臓内	08	2023	4
1514346	0	総合診	36	2023	1
1514353	0	産婦人	43	2023	1
1514486	0	眼科	26	2023	12
1514502	0	眼科	26	2023	1
1514569	0	耳鼻科	25	2023	1
1514601	0	整形外	18	2023	1
1514601	0	総合診	36	2023	1
1514601	0	脳神内	02	2023	12
1514635	0	呼吸外	13	2023	1
1514635	0	腎臓内	08	2023	6
1514684	0	糖尿内	06	2023	1
1514759	0	リウ膠	48	2023	1
1514833	0	心療科	12	2023	1
1515020	0	乳甲外	16	2023	1
1515020	0	脳神内	02	2023	1
1515111	0	糖尿内	06	2023	2
1515137	0	整形外	18	2023	1
1515152	0	総合診	36	2023	1
1515244	0	リウ膠	48	2023	1
1515244	0	整形外	18	2023	1
1515244	0	腎臓内	08	2023	1
1515244	0	麻酔科	37	2023	2
1515277	0	リウ膠	48	2023	1
1515277	0	腎臓内	08	2023	5
1515285	0	放核医	30	2023	2
1515293	0	眼科	26	2023	7
1515319	0	乳甲外	16	2023	1
1515442	0	皮膚科	21	2023	1
1515525	0	小児外	17	2023	1
1515525	0	心血外	15	2023	1
1515541	0	リハ	31	2023	1
1515558	0	皮膚科	21	2023	1
1515608	0	リハ	31	2023	1
1515624	0	脳卒中	09	2023	1
1515624	0	脳神外	20	2023	2
1515632	0	呼吸内	05	2023	1
1515681	0	循環内	07	2023	1
1515731	0	小児外	17	2023	1
1515806	0	腎臓内	08	2023	6
1515830	0	乳甲外	16	2023	1
1515848	0	リウ膠	48	2023	10
1515848	0	乳甲外	16	2023	1
1515848	0	脳神内	02	2023	1
1515848	0	腎臓内	08	2023	5
